source_dataset,source_term,mapped_rule_id,mapping_confidence,notes
ihm_stefanini_raw,Bees,Unmapped,n/a,No confident IOGP rule match for 'Bees' in Critical Risk
ihm_stefanini_raw,Blocking and isolation of energies,energy_isolation,high,
ihm_stefanini_raw,Burn,hot_work,high,
ihm_stefanini_raw,Chemical substances,Unmapped,n/a,No confident IOGP rule match for 'Chemical substances' in Critical Risk
ihm_stefanini_raw,Confined space,confined_space,high,
ihm_stefanini_raw,Cut,Unmapped,n/a,No confident IOGP rule match for 'Cut' in Critical Risk
ihm_stefanini_raw,Electrical installation,energy_isolation,high,
ihm_stefanini_raw,Electrical Shock,energy_isolation,high,
ihm_stefanini_raw,Fall,working_at_height,high,
ihm_stefanini_raw,Fall prevention,working_at_height,high,
ihm_stefanini_raw,Fall prevention (same level),Unmapped,n/a,No confident IOGP rule match for 'Fall prevention (same level)' in Critical Risk
ihm_stefanini_raw,Individual protection equipment,Unmapped,n/a,PPE gaps are a distinct failure mode from bypassing an interlock/permit/control — not a clean IOGP match.
ihm_stefanini_raw,Liquid Metal,hot_work,high,
ihm_stefanini_raw,Machine Protection,bypassing_safety_controls,high,
ihm_stefanini_raw,Manual Tools,Unmapped,n/a,No confident IOGP rule match for 'Manual Tools' in Critical Risk
ihm_stefanini_raw,Not applicable,Unmapped,n/a,No confident IOGP rule match for 'Not applicable' in Critical Risk
ihm_stefanini_raw,Others,Unmapped,n/a,No confident IOGP rule match for 'Others' in Critical Risk
ihm_stefanini_raw,Plates,Unmapped,n/a,No confident IOGP rule match for 'Plates' in Critical Risk
ihm_stefanini_raw,Poll,Unmapped,n/a,No confident IOGP rule match for 'Poll' in Critical Risk
ihm_stefanini_raw,Power lock,energy_isolation,high,
ihm_stefanini_raw,Pressed,Unmapped,n/a,No confident IOGP rule match for 'Pressed' in Critical Risk
ihm_stefanini_raw,Pressurized Systems,energy_isolation,high,
ihm_stefanini_raw,Pressurized Systems / Chemical Substances,Unmapped,n/a,No confident IOGP rule match for 'Pressurized Systems / Chemical Substances' in Critical Risk
ihm_stefanini_raw,Projection,Unmapped,n/a,No confident IOGP rule match for 'Projection' in Critical Risk
ihm_stefanini_raw,Projection of fragments,Unmapped,n/a,No confident IOGP rule match for 'Projection of fragments' in Critical Risk
ihm_stefanini_raw,Projection/Burning,Unmapped,n/a,No confident IOGP rule match for 'Projection/Burning' in Critical Risk
ihm_stefanini_raw,Projection/Choco,Unmapped,n/a,No confident IOGP rule match for 'Projection/Choco' in Critical Risk
ihm_stefanini_raw,Projection/Manual Tools,Unmapped,n/a,No confident IOGP rule match for 'Projection/Manual Tools' in Critical Risk
ihm_stefanini_raw,remains of choco,Unmapped,n/a,No confident IOGP rule match for 'remains of choco' in Critical Risk
ihm_stefanini_raw,Suspended Loads,safe_mechanical_lifting,high,
ihm_stefanini_raw,Traffic,driving,high,
ihm_stefanini_raw,Vehicles and Mobile Equipment,driving,high,
ihm_stefanini_raw,Venomous Animals,Unmapped,n/a,No confident IOGP rule match for 'Venomous Animals' in Critical Risk
severe_injury_reports_jboysen,1110,Unmapped,n/a,No confident IOGP rule match for '1110' in Event
severe_injury_reports_jboysen,1111,Unmapped,n/a,No confident IOGP rule match for '1111' in Event
severe_injury_reports_jboysen,1112,Unmapped,n/a,No confident IOGP rule match for '1112' in Event
severe_injury_reports_jboysen,1113,Unmapped,n/a,No confident IOGP rule match for '1113' in Event
severe_injury_reports_jboysen,1114,Unmapped,n/a,No confident IOGP rule match for '1114' in Event
severe_injury_reports_jboysen,1119,Unmapped,n/a,No confident IOGP rule match for '1119' in Event
severe_injury_reports_jboysen,1210,Unmapped,n/a,No confident IOGP rule match for '1210' in Event
severe_injury_reports_jboysen,1211,Unmapped,n/a,No confident IOGP rule match for '1211' in Event
severe_injury_reports_jboysen,1212,Unmapped,n/a,No confident IOGP rule match for '1212' in Event
severe_injury_reports_jboysen,1213,Unmapped,n/a,No confident IOGP rule match for '1213' in Event
severe_injury_reports_jboysen,1214,Unmapped,n/a,No confident IOGP rule match for '1214' in Event
severe_injury_reports_jboysen,1215,Unmapped,n/a,No confident IOGP rule match for '1215' in Event
severe_injury_reports_jboysen,1219,Unmapped,n/a,No confident IOGP rule match for '1219' in Event
severe_injury_reports_jboysen,1221,Unmapped,n/a,No confident IOGP rule match for '1221' in Event
severe_injury_reports_jboysen,1229,Unmapped,n/a,No confident IOGP rule match for '1229' in Event
severe_injury_reports_jboysen,129,Unmapped,n/a,No confident IOGP rule match for '129' in Event
severe_injury_reports_jboysen,1310,Unmapped,n/a,No confident IOGP rule match for '1310' in Event
severe_injury_reports_jboysen,1311,Unmapped,n/a,No confident IOGP rule match for '1311' in Event
severe_injury_reports_jboysen,1312,Unmapped,n/a,No confident IOGP rule match for '1312' in Event
severe_injury_reports_jboysen,1313,Unmapped,n/a,No confident IOGP rule match for '1313' in Event
severe_injury_reports_jboysen,1319,Unmapped,n/a,No confident IOGP rule match for '1319' in Event
severe_injury_reports_jboysen,1320,Unmapped,n/a,No confident IOGP rule match for '1320' in Event
severe_injury_reports_jboysen,1321,Unmapped,n/a,No confident IOGP rule match for '1321' in Event
severe_injury_reports_jboysen,1322,Unmapped,n/a,No confident IOGP rule match for '1322' in Event
severe_injury_reports_jboysen,1323,Unmapped,n/a,No confident IOGP rule match for '1323' in Event
severe_injury_reports_jboysen,1324,Unmapped,n/a,No confident IOGP rule match for '1324' in Event
severe_injury_reports_jboysen,1329,Unmapped,n/a,No confident IOGP rule match for '1329' in Event
severe_injury_reports_jboysen,1381,Unmapped,n/a,No confident IOGP rule match for '1381' in Event
severe_injury_reports_jboysen,20,driving,high,
severe_injury_reports_jboysen,210,driving,high,
severe_injury_reports_jboysen,211,driving,high,
severe_injury_reports_jboysen,2151,driving,high,
severe_injury_reports_jboysen,2153,driving,high,
severe_injury_reports_jboysen,216,driving,high,
severe_injury_reports_jboysen,219,driving,high,
severe_injury_reports_jboysen,227,driving,high,
severe_injury_reports_jboysen,229,driving,high,
severe_injury_reports_jboysen,2312,driving,high,
severe_injury_reports_jboysen,2313,driving,high,
severe_injury_reports_jboysen,2321,driving,high,
severe_injury_reports_jboysen,2322,driving,high,
severe_injury_reports_jboysen,2323,driving,high,
severe_injury_reports_jboysen,2329,driving,high,
severe_injury_reports_jboysen,240,driving,high,
severe_injury_reports_jboysen,2410,driving,high,
severe_injury_reports_jboysen,2411,driving,high,
severe_injury_reports_jboysen,2412,driving,high,
severe_injury_reports_jboysen,2413,driving,high,
severe_injury_reports_jboysen,2419,driving,high,
severe_injury_reports_jboysen,2420,driving,high,
severe_injury_reports_jboysen,2421,driving,high,
severe_injury_reports_jboysen,2422,driving,high,
severe_injury_reports_jboysen,2423,driving,high,
severe_injury_reports_jboysen,2429,driving,high,
severe_injury_reports_jboysen,2430,driving,high,
severe_injury_reports_jboysen,2431,driving,high,
severe_injury_reports_jboysen,2432,driving,high,
severe_injury_reports_jboysen,2433,driving,high,
severe_injury_reports_jboysen,2440,driving,high,
severe_injury_reports_jboysen,2441,driving,high,
severe_injury_reports_jboysen,2442,driving,high,
severe_injury_reports_jboysen,2443,driving,high,
severe_injury_reports_jboysen,2449,driving,high,
severe_injury_reports_jboysen,249,driving,high,
severe_injury_reports_jboysen,250,driving,high,
severe_injury_reports_jboysen,2521,driving,high,
severe_injury_reports_jboysen,2522,driving,high,
severe_injury_reports_jboysen,253,driving,high,
severe_injury_reports_jboysen,256,driving,high,
severe_injury_reports_jboysen,257,driving,high,
severe_injury_reports_jboysen,258,driving,high,
severe_injury_reports_jboysen,259,driving,high,
severe_injury_reports_jboysen,260,driving,high,
severe_injury_reports_jboysen,2610,driving,high,
severe_injury_reports_jboysen,2611,driving,high,
severe_injury_reports_jboysen,2612,driving,high,
severe_injury_reports_jboysen,2613,driving,high,
severe_injury_reports_jboysen,2615,driving,high,
severe_injury_reports_jboysen,2621,driving,high,
severe_injury_reports_jboysen,2622,driving,high,
severe_injury_reports_jboysen,2629,driving,high,
severe_injury_reports_jboysen,2630,driving,high,
severe_injury_reports_jboysen,2631,driving,high,
severe_injury_reports_jboysen,2632,driving,high,
severe_injury_reports_jboysen,2634,driving,high,
severe_injury_reports_jboysen,2636,driving,high,
severe_injury_reports_jboysen,2637,driving,high,
