report_id,date,site,activity,report_type,report_text,sif_potential,life_saving_rule,hazard,barrier,barrier_status,risk_level,source
OIL-00001,2016-01-01,Real-Local_01,Mining,Incident,"While removing the drill rod of the Jumbo 08 for maintenance, the supervisor proceeds to loosen the support of the intermediate centralizer to facilitate the removal, seeing this the mechanic supports one end on the drill of the equipment to pull with both hands the bar and accelerate the removal from this, at this moment the bar slides from its point of support and tightens the fingers of the mechanic between the drilling bar and the beam of the jumbo.",Yes,Unmapped,Pressed,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00002,2016-01-02,Real-Local_02,Mining,Incident,"During the activation of a sodium sulphide pump, the piping was uncoupled and the sulfide solution was designed in the area to reach the maid. Immediately she made use of the emergency shower and was directed to the ambulatory doctor and later to the hospital. Note: of sulphide solution = 48 grams / liter.",Yes,Energy Isolation,Pressurized Systems,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00003,2016-01-06,Real-Local_03,Mining,Incident,"In the sub-station MILPO located at level +170 when the collaborator was doing the excavation work with a pick (hand tool), hitting a rock with the flat part of the beak, it bounces off hitting the steel tip of the safety shoe and then the metatarsal area of ​​the left foot of the collaborator causing the injury.",No,Unmapped,Manual Tools,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00004,2016-01-08,Real-Local_04,Mining,Incident,"Being 9:45 am. approximately in the Nv. 1880 CX-695 OB7, the personnel begins the task of unlocking the Soquet bolts of the BHB machine, when they were in the penultimate bolt they identified that the hexagonal head was worn, proceeding Mr. Cristóbal - Auxiliary assistant to climb to the platform to exert pressure with your hand on the ""DADO"" key, to prevent it from coming out of the bolt; in those moments two collaborators rotate with the lever in anti-clockwise direction, leaving the key of the bolt, hitting the palm of the left hand, causing the injury.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00005,2016-01-10,Real-Local_04,Mining,Incident,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00006,2016-01-12,Real-Local_05,Metals,Incident,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes.",No,Energy Isolation,Pressurized Systems,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00007,2016-01-16,Real-Local_05,Metals,Incident,"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand.",No,Unmapped,Fall prevention (same level),Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00008,2016-01-17,Real-Local_04,Mining,Incident,"At approximately 04:50 p.m., when the mechanic technician José of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps.",No,Unmapped,Pressed,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00009,2016-01-19,Real-Local_02,Mining,Incident,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00010,2016-01-26,Real-Local_06,Metals,Incident,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",No,Unmapped,Chemical substances,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
