record_id,source_organization,source_dataset,source_url,source_record_id,source_type,is_synthetic,date,site,industry_domain,report_type,activity,narrative_text,hazard,unsafe_act,unsafe_condition,barrier,barrier_status,potential_consequence,actual_outcome,sif_potential,sif_reason,life_saving_rule,injury_severity_actual,age,sex,naics_code,ingestion_date,schema_version,is_duplicate_group_id,is_empty_or_malformed,has_possible_pii
sif_guard_seed__OIL-01217,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01217,synthetic,True,2026-06-21,Site E - Barekuri Pipeline,oil_and_gas,UC,Maintenance,An alarm on the main isolation valve was silenced by a contract technician without investigating the cause.,Overridden alarm,UNKNOWN,UNKNOWN,Alarm system,Missing,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Bypassing Safety Controls,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00453,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00453,synthetic,True,2025-01-15,Site B - Moran,oil_and_gas,UA,Housekeeping,A shift technician observed mild clutter of files near the printer station; tidied up.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-01278,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01278,synthetic,True,2026-08-01,Site A - Duliajan,oil_and_gas,Near Miss,Scaffolding,A rigger was working at height on scaffolding without a harness properly anchored. No injury occurred.,Fall from height,UNKNOWN,UNKNOWN,Guardrails,Failed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Working at Height,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00865,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00865,synthetic,True,2025-10-21,Site E - Barekuri Pipeline,oil_and_gas,UA,Maintenance,A minor paint peel was noticed on the safety information board near the pump P-204. Corrected on the spot.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00435,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00435,synthetic,True,2025-01-05,Site D - Jorajan,oil_and_gas,UA,Maintenance,Hot work permit was signed but the copy at the site was slightly torn; replaced with new copy. No further action required.,None identified,UNKNOWN,UNKNOWN,Fire extinguishing equipment on site,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Hot Work,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15430,False,False
sif_guard_seed__OIL-00459,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00459,synthetic,True,2025-01-20,Site E - Barekuri Pipeline,oil_and_gas,Incident,Hot Work,Hot work permit was signed but the copy at the site was slightly torn; replaced with new copy. No further action required.,None identified,UNKNOWN,UNKNOWN,Fire watch,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Hot Work,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15430,False,False
sif_guard_seed__OIL-00776,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00776,synthetic,True,2025-08-27,Site A - Duliajan,oil_and_gas,UC,Hot Work,Hot work permit was signed but the copy at the site was slightly torn; replaced with new copy. No further action required.,None identified,UNKNOWN,UNKNOWN,Hot work permit,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Hot Work,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15430,False,False
sif_guard_seed__OIL-00802,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00802,synthetic,True,2025-09-12,Site D - Jorajan,oil_and_gas,UA,Maintenance,Hot work permit was signed but the copy at the site was slightly torn; replaced with new copy. No further action required.,None identified,UNKNOWN,UNKNOWN,Gas testing (flammable atmosphere),Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Hot Work,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15430,False,False
sif_guard_seed__OIL-01293,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01293,synthetic,True,2026-08-14,Site B - Moran,oil_and_gas,Near Miss,Hot Work,Hot work permit was signed but the copy at the site was slightly torn; replaced with new copy. No further action required.,None identified,UNKNOWN,UNKNOWN,Gas testing (flammable atmosphere),Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Hot Work,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15430,False,False
sif_guard_seed__OIL-01015,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01015,synthetic,True,2026-02-11,Site C - Kumchai,oil_and_gas,UA,Production Operations,Risk assessment was not completed before an operator began work on the electrical panel. Work was stopped immediately once observed.,Missing risk assessment,UNKNOWN,UNKNOWN,Permit to Work (PTW),Failed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Work Authorisation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
